timestamp,v0,v1,X,Y,Z,result
1,43636.37409,43639.27689,-11045.3483,-18810.40865,37997.5299,1
1,43636.38083,43639.28703,-11042.73989,-18803.06628,38001.88555,1
1,43636.38921,43639.29451,-11040.09301,-18797.13043,38005.52959,1
1,43636.40068,43639.30085,-11037.74356,-18792.94791,38008.21858,1
1,43636.41596,43639.30849,-11036.07143,-18790.27492,38009.9884,1
1,43636.43483,43639.31969,-11035.33613,-18788.59952,38011.03282,1
1,43636.45614,43639.33541,-11035.53949,-18787.54391,38011.53857,1
1,43636.47819,43639.35492,-11036.38614,-18787.11547,38011.57306,1
1,43636.49936,43639.37625,-11037.36643,-18787.6761,38011.08312,1
1,43636.51858,43639.39704,-11037.93162,-18789.64994,38009.99941,1
1,43636.53563,43639.41572,-11037.6796,-18793.13587,38008.38206,1
1,43636.55082,43639.43192,-11036.4731,-18797.64706,38006.51723,1
1,43636.5647,43639.44634,-11034.44207,-18802.14805,38004.89351,1
1,43636.5777,43639.46027,-11031.8845,-18805.40087,38004.05113,1
1,43636.59011,43639.47476,-11029.12925,-18806.46854,38004.36527,1
1,43636.60241,43639.49033,-11026.43133,-18805.13744,38005.86511,1
1,43636.61536,43639.50699,-11023.93911,-18802.04679,38008.18111,1
1,43636.63,43639.52437,-11021.72545,-18798.46922,38010.64961,1
1,43636.64722,43639.54197,-11019.83835,-18795.84137,38012.53624,1
1,43636.6672,43639.55929,-11018.32066,-18795.26831,38013.27888,1
1,43636.68915,43639.57597,-11017.18239,-18797.21174,38012.65036,1
1,43636.71148,43639.59184,-11016.35267,-18801.45126,38010.79001,1
1,43636.73246,43639.60689,-11015.66187,-18807.25331,38008.12252,1
1,43636.75082,43639.62141,-11014.88172,-18813.61247,38005.22304,1
1,43636.76619,43639.63593,-11013.81312,-18819.4651,38002.6823,1
1,43636.7791,43639.65109,-11012.37678,-18823.83862,38001.00323,1
1,43636.79071,43639.66743,-11010.64414,-18825.97992,38000.52804,1
1,43636.80246,43639.68521,-11008.78589,-18825.50697,38001.38033,1
1,43636.81572,43639.70443,-11006.95903,-18822.55454,38003.43055,1
1,43636.83158,43639.72469,-11005.20248,-18817.82826,38006.30571,1
1,43636.85075,43639.7453,-11003.39685,-18812.48094,38009.46766,1
1,43636.87325,43639.76545,-11001.31992,-18807.79063,38012.35816,1
1,43636.89822,43639.78457,-10998.76221,-18804.74168,38014.5697,1
1,43636.92412,43639.80264,-10995.64324,-18803.683,38015.97374,1
1,43636.94907,43639.82016,-10992.06521,-18804.22566,38016.74753,1
1,43636.97149,43639.83803,-10988.28255,-18805.41844,38017.29015,1
1,43636.99077,43639.85709,-10984.60978,-18806.12788,38018.05976,1
1,43637.00748,43639.87748,-10981.31525,-18805.43794,38019.41186,1
1,43637.0231,43639.89857,-10978.55222,-18802.90253,38021.50173,1
1,43637.03932,43639.91919,-10976.34657,-18798.5621,38024.28855,1
1,43637.05723,43639.93818,-10974.6315,-18792.7856,38027.60677,1
1,43637.07689,43639.95515,-10973.29673,-18786.06015,38031.25551,1
1,43637.09753,43639.97058,-10972.22978,-18778.85008,38035.05341,1
1,43637.11818,43639.98563,-10971.33541,-18771.56257,38038.84554,1
1,43637.1384,43640.00171,-10970.53861,-18764.57741,38042.48409,1
1,43637.1585,43640.01983,-10969.78236,-18758.26042,38045.81965,1
1,43637.17919,43640.0404,-10969.03045,-18752.89597,38048.72981,1
1,43637.20103,43640.06332,-10968.27371,-18748.573,38051.17097,1
1,43637.22396,43640.08808,-10967.5358,-18745.10243,38053.21636,1
