timestamp,v0,v1,X,Y,Z,result
1,43620.36649,43622.31086,40339.39142,-16906.47418,-1189.583689,normal
1,43620.38045,43622.32473,40336.25725,-16914.04516,-1190.743543,normal
1,43620.39345,43622.33861,40333.14867,-16921.92986,-1187.972546,normal
1,43620.4056,43622.35375,40330.04144,-16930.09147,-1181.509087,normal
1,43620.41729,43622.37093,40326.76525,-16938.85931,-1171.466205,normal
1,43620.42929,43622.39003,40323.11164,-16948.69608,-1157.821863,normal
1,43620.44262,43622.41021,40318.97332,-16959.86848,-1140.487008,normal
1,43620.45805,43622.43045,40314.44591,-16972.18312,-1119.496381,normal
1,43620.4757,43622.45012,40309.84989,-16984.89213,-1095.279924,normal
1,43620.49491,43622.46906,40305.65224,-16996.84671,-1068.826987,normal
1,43620.51453,43622.48765,40302.33059,-17006.80954,-1041.648832,normal
1,43620.53335,43622.50631,40300.24577,-17013.78292,-1015.470983,normal
1,43620.55072,43622.5253,40299.58089,-17017.19943,-991.767088,normal
1,43620.56687,43622.54451,40300.3518,-17016.93986,-971.3733902,normal
1,43620.58269,43622.5636,40302.46746,-17013.20346,-954.4187005,normal
1,43620.59927,43622.58233,40305.78859,-17006.34634,-940.6226482,normal
1,43620.61738,43622.60065,40310.141,-16996.80913,-929.7630875,normal
1,43620.63707,43622.61861,40315.28772,-16985.15377,-921.9662108,normal
1,43620.65758,43622.63623,40320.89343,-16972.15077,-917.6335491,normal
1,43620.67747,43622.65316,40326.52366,-16958.81249,-917.0107063,normal
1,43620.69525,43622.66875,40331.68726,-16946.32848,-919.7366806,normal
1,43620.70993,43622.68245,40335.91012,-16935.90285,-924.6833134,normal
1,43620.72138,43622.69421,40338.81399,-16928.54377,-930.3113538,normal
1,43620.73044,43622.70478,40340.19708,-16924.81793,-935.459231,normal
1,43620.73855,43622.71551,40340.0797,-16924.69195,-940.0718701,normal
1,43620.74737,43622.72778,40338.72475,-16927.47112,-945.3788016,normal
1,43620.75823,43622.74227,40336.62034,-16931.87653,-953.3574016,normal
1,43620.77189,43622.75848,40334.40035,-16936.30671,-965.5897622,normal
1,43620.78834,43622.77496,40332.69555,-16939.26459,-982.1209867,normal
1,43620.80685,43622.7901,40331.96164,-16939.79291,-1001.002852,normal
1,43620.82626,43622.80293,40332.34167,-16937.77592,-1018.683074,normal
1,43620.84536,43622.81366,40333.63622,-16933.93699,-1031.202409,normal
1,43620.86318,43622.8236,40335.42229,-16929.46645,-1035.610689,normal
1,43620.87931,43622.83438,40337.27762,-16925.42724,-1030.916148,normal
1,43620.89392,43622.84714,40339.0099,-16922.20313,-1018.189951,normal
1,43620.90776,43622.86214,40340.75873,-16919.29701,-999.8516099,normal
1,43620.92178,43622.87887,40342.90212,-16915.61954,-978.6085641,normal
1,43620.93672,43622.89653,40345.81275,-16910.12503,-956.6097213,normal
1,43620.9528,43622.91449,40349.56826,-16902.52212,-935.2092831,normal
1,43620.96953,43622.93249,40353.7875,-16893.64932,-915.3424604,normal
1,43620.98594,43622.95032,40357.68499,-16885.31848,-898.0925194,normal
1,43621.00095,43622.96759,40360.33337,-16879.67936,-884.8752511,normal
1,43621.01403,43622.98375,40361.00667,-16878.4207,-877.0131778,normal
1,43621.02556,43622.99842,40359.44349,-16882.1757,-874.9795296,normal
1,43621.03674,43623.01175,40355.89785,-16890.42589,-877.7901551,normal
1,43621.04916,43623.02455,40350.98626,-16901.85295,-883.0872236,normal
1,43621.06398,43623.03809,40345.40636,-16914.95907,-888.0022992,normal
1,43621.08132,43623.0534,40339.69155,-16928.59345,-890.3437991,normal
1,43621.10006,43623.07072,40334.12617,-16942.12322,-889.3393035,normal
1,43621.11823,43623.08951,40328.84421,-16955.21191,-885.4433041,normal
1,43621.13383,43623.1087,40324.02984,-16967.39178,-879.3197853,normal
1,43621.14569,43623.12724,40320.08297,-16977.71472,-870.6907582,normal
1,43621.15415,43623.14457,40317.64062,-16984.71531,-857.8492129,normal
1,43621.16078,43623.16068,40317.42681,-16986.73296,-838.2666228,normal
1,43621.16777,43623.17588,40320.00462,-16982.44608,-810.0035018,normal
1,43621.17711,43623.19072,40325.54749,-16971.36604,-773.2213022,normal
1,43621.18986,43623.20563,40333.73503,-16954.07499,-730.9173729,normal
1,43621.20601,43623.22103,40343.80971,-16932.12282,-688.500217,normal
1,43621.22461,43623.23718,40354.76287,-16907.64177,-652.4107383,normal
1,43621.2443,43623.25402,40365.57656,-16882.83071,-628.4518614,normal
1,43621.26374,43623.2711,40375.42311,-16859.52007,-620.3675235,normal
1,43621.28175,43623.2875,40383.76628,-16838.95689,-629.0775025,normal
1,43621.29756,43623.30209,40390.36037,-16821.80525,-652.767108,normal
